,smart_institution2,count
977,Donald & Barbara Zucker School Of Medicine At Hofstra/Northwell,1
978,Drexel University/Hahnemann University Hospital,1
979,Durham Veterans Affairs Medical Center,1
980,East Carolina University,1
981,East Hospital,1
982,East Tennesse State University,1
983,East Tennessee State University - Quillen College Of Medicine,1
984,East Texas Medical Center,1
985,Edward Via College Of Osteopathic Medicine,1
986,Einstein Healthcare Network,1
987,Einstein Medical Center,1
988,Einstein Medical Center Philadelphia,1
989,Georgetown University Law Center,1
990,Graduate Institute Of Anatomy And Cell Biology,1
991,Targeted And Biological Therapies Group,1
992,Institute For Health Policy And Innovation,1
993,Hospital Of Hope,1
994,Hospital Pedro De Bethancourt,1
995,"Hospital Universitario ""General Calixto-Garcia""",1
996,Houston Methodist Hospital And Research Institute,1
997,Houston Methodist Research Institute,1
998,Howard Hughes Medical Institute,1
999,Howard University,1
1000,Hunter Medical Research Institute,1
1001,Hunter New England Health,1
1002,Huntington Hospital/Northwell Health,1
1003,Huntsman Cancer Institute At The University Of Utah,1
1004,Ichihara Hospital,1
1005,Imperial College,1
1006,Imperial College Healthcare Nhs Trust,1
1007,Institute Of Clinical Medicine,1
1008,Grady Hospital,1
1009,Instituto Nacional De Cancerologa,1
1010,Instituto Nacional De Cancerologia,1
1011,Instituto Tecnolgico Y De Estudios Superiores De Monterrey,1
1012,Intermountain Primary Children'S Hospital,1
1013,Iu School Of Medicine,1
1014,Jacobs School Of Medicine And Biomedical Sciences,1
1015,Jamaica Hospital Medical Center,1
1016,James Cook University,1
1017,James Madison University,1
1018,Japanese Red Cross Maebashi Hospital,1
1019,Jawaharlal Institute Of Postgraduate Medical Education And Research,1
1020,Jellison Cancer Institute/ Florida State University College Of Medicine,1
1021,Jesse Brown Va Medical Center,1
1022,Joe Dimaggio Children'S Hospital,1
1023,Hospital Jose Maria Cabral Y Baez,1
1024,Hospital Erasto Gaertner - Federal University Of Parana,1
1025,Hospital Episcopal San Lucas,1
1026,Hospital Das Clnicas Da Universidade Federal De Minas Gerais,1
1027,Grant Medical Center/Ohio University Heritage College Of Medicine,1
1028,Great Ormond Street Institute Of Child Health,1
1029,Griffith University,1
1030,Groote Schuur Hospital,1
1031,Guangdong Hospital Of Traditional Chinese Medicine,1
1032,Gundersen Health System,1
1033,Guobin Chen,1
1034,Guthrie / Robert Packer Hospital,1
1035,Guy'S & St Thomas' Nhs Foundation Trust,1
1036,Hadassah-Hebrew University Medical Center,1
1037,Hahnemann University Hospital,1
1038,Hahnemann University Hospital/Drexel University College Of Medicine,1
1039,Harbor- Ucla,1
1040,Harlem Hospital,1
1041,Harvard Beth Israel Deaconess Medical Center,1
1042,Harvard Medical School And Harvard T. H. Chan School Of Public Health. Brigham And Women'S Hospital,1
1043,Harvard Medical School. Brigham And Women'S Hospital,1
1044,Harvard T.H. Chan School Of Public Health,1
1045,Hatton Research Institute,1
1046,Hca,1
1047,Hca Healthcare/Usf Morsani College Of Medicine Gme,1
1048,Hca/Usf/Regional Medical Center Bayonet Point,1
1049,Hepatobiliary And Pancreatic Unit Hospital Pablo Tob=N Uribe (Hptu) ,1
1050,Highland Hospital,1
1051,Hofstra-Northwell School Of Medicine,1
1052,Hoftstra Northwell School Of Medicine,1
1053,Hokkaido University,1
1054,Honorary,1
1055,Hornepayne General Hospital,1
1056,Dartmouth Cancer Center,1
1057,Dalhousie University,1
1058,Cuny School Of Medicine,1
1059,Baylor Univeristy Medical Center,1
1060,Augusa State University,1
1061,Augusta University At The Medical College Of Georgia,1
1062,Austin Hospital,1
1063,Banner University Medical Center - Tucson - Banner Health,1
1064,Banner University Medical Center- Phoenix,1
1065,Banner University Medical Center/ University Of Arizona,1
1066,Banner- University Of Arizona,1
1067,Banner- University Of Arizona Medical Center,1
1068,Banner-University Of Arizona,1
1069,Bassett Medical Center,1
1070,Baylor College Of Medicine / Michael E. Debakey Va Medical Center,1
1071,Baylor College Of Medicine And Texas Childrens Hospital,1
1072,Baylor Scott & White Medical Center-Temple,1
1073,Baylor St. Lukes Medical Center,1
1074,Baylor University Medical Center,1
1075,Crozer-Keystone Medical Center,1
1076,Beaumont Health,1
1077,Beth Israel Deconess Medical Center,1
1078,Beth Israel Lahey Hospital,1
1079,Bethany Kids At Aic Kijabe Hospital,1
1080,Biolife4D,1
1081,Birmingham Va Medical Center,1
1082,Boston University Medical Center,1
1083,Brigham Young University,1
1084,Brighton And Sussex University Hospitals Nhs Trust,1
1085,Bronx Care (Lebanon) Hospital,1
1086,Bronx- Lebanon Hospital Center,1
1087,Brooklyn Hospital Center,1
1088,Brookwood Baptist Health System,1
1089,Broward Health,1
1090,Auckland City Hospital,1
1091,Atrium Health Wake Forest Baptist Health,1
1092,Atrium Health Navicent,1
1093,Ascension St. Vincent Hospital,1
1094,A T Still University,1
1095,A.T. Still University,1
1096,Abilene Christian University,1
1097,Abington Hospital,1
1098,Academic Medical Center,1
1099,Addenbrookes Hospital,1
1100,Addis Ababa University,1
1101,Advent Health Orlando,1
1102,Adventhealth Cancer Institute,1
1103,Advocate Lutheran General Hospital,1
1104,Affiliated Zhongda Hospital,1
1105,Aga Khan University Hospital Karachi,1
1106,Air Force Institute Of Technology,1
1107,Akron General Medical Center,1
1108,Albert Einstein College Of Medicine / Montefiore Medical Center,1
1109,Albert Einstein College Of Medicine And Montefiore Medical Center,1
1110,Alfred Health,1
1111,Allegheny Health Network,1
1112,Alpert Medical School Of Brown University,1
1113,American Academy Of Pediatrics Section On Surgey,1
1114,Amsterdamumc,1
1115,An-Najah University,1
1116,Ankara University Faculty Of Medicine,1
1117,Ankara Yildirim Beyazit University,1
1118,Ann And Robert H. Lurie Children'S Hospital,1
1119,Arnot Ogden Medical Center,1
1120,Asahi General Hospital,1
1121,Ascension Providence,1
1122,Ascension Saint Agnes Healthcare,1
1123,Brown University - Rhode Island Hospital,1
1124,Brown University / Rhode Island Hospital,1
1125,Brown University Medical School/Rhode Island Hospital,1
1126,Children'S Medical Center Dallas,1
1127,Children'S Mercy Hospital-University Of Missouri Kansas City,1
1128,Children'S Mercy Kansas City,1
1129,Children'S National Health System,1
1130,Children'S National Medical Center,1
1131,Childrens Hospital Colorado/University Of Colorado School Of Medicine,1
1132,Childrens Hospital Of Los Angeles,1
1133,Childrens Hospital Of Pittsburgh Of Upmc,1
1134,Chittagong Medical College Hospital,1
1135,Christian Medical College,1
1136,Cinch Valley Medical Center,1
1137,Cincinnati Children'S Hospital Medical Center (Cchmc),1
1138,Cincinnati Childrens Hospital And Medical Center,1
1139,Cincinnati Childrens'S Hospital Medical Center,1
1140,City Of Hope Comprehensive Cancer Center,1
1141,City University Of New York,1
1142,Clement J Zablocki Veterans Affairs Medical Center,1
1143,Cmc Hospital,1
1144,Cohen Children'S Hospital,1
1145,Cold Spring Harbor Laboratory,1
1146,College Of Medicine And Allied Health Sciences,1
1147,Columbia University Irving Medical Center,1
1148,Companeros En Salud,1
1149,Concord Hospital,1
1150,Consulente Policlinico San Pietro,1
1151,Cook County Health,1
1152,Cook County Health And Hospitals System,1
1153,Copenhagen University Hospital,1
1154,Creighton University,1
1155,Crown Princess Mary Cancer Centre,1
1156,Children'S Mercy Hospital And Clinics,1
1157,Children'S Hospital Of Pittsburgh,1
1158,C.S. Mott Children'S Hospital,1
1159,Children'S Hospital Of Michigan,1
1160,C.S.Mott Children'S Hospital,1
1161,California Northstate University College Of Medicine,1
1162,California Northstate University College Of Pharmacy,1
1163,Cambridge University Medical School,1
1164,Cancer Institute Hospital,1
1165,Cardinal Glennon Children'S Hospital,1
1166,Cardinal Glennon Childrens Medical Center,1
1167,Cardiovascular Outcomes Research Laboratories (Corelab) At University Of California,1
1168,Carle Foundation Hospital,1
1169,Carnegie Mellon University,1
1170,Carolinas Healthcare System,1
1171,Cedars-Sinai,1
1172,Center For Fetal And Placental Research,1
1173,Center For Global Surgical Studies,1
1174,Center For Innovations In Quality,1
1175,Center For Perinatal Research,1
1176,Center For Translational Injury Research,1
1177,Center Of Advanced Surgical Oncology,1
1178,Centre For Biomedical Technologies,1
1179,Centre Hospitalier De L'Universit De Montral,1
1180,Centro Mtdico Abc,1
1181,Chandler Regional Medical Center,1
1182,Chang Gung Memorial Hospital,1
1183,Chicago Medical School - Rosalind Franklin University Of Medicine And Science,1
1184,Chicago Medical School At Rosalind Franklin University,1
1185,Children Mercy'S Hospital,1
1186,Children'S Hospital At Oklahoma University Medicine,1
1187,Children'S Hospital Los Angeles/The Saban Research Institute,1
1188,Children'S Hospital Of Los Angeles,1
1189,John D. Dingell Va Medical Center,1
1190,John H Stroger Jr Hospital Of Cook County,1
1191,John Wayne Cancer Institute/Providence St. John'S Medical Center,1
1192,Rady Children'S Hospital - San Diego,1
1193,Price Institue Of Surgical Research,1
1194,Price Institute Of Of Surgical Research And The Section Of Colorectal Surgery,1
1195,Price Institute Of Surgical Research And The Section Of Colorectal Surgery,1
1196,Primary Childrens Hospital,1
1197,Prince Of Wales Hospital,1
1198,Pritzker School Of Medicine At The University Of Chicago,1
1199,Program In Global Surgery And Social Change-Harvard Medical School,1
1200,Qassim University,1
1201,Queen Elizabeth Central Hospital,1
1202,Queen Elizabeth University Hospital,1
1203,Queen Mary,1
1204,R Adams Cowley Shock Trauma Center,1
1205,Rabin Medical Center,1
1206,Rady Children'S Hospital,1
1207,Rady Children'S Hospital/ Uc San Diego,1
1208,Nyu Winthrop Hospital,1
1209,Red Duke Trauma Institute,1
1210,Richmond Hill Urology And Prostate Institute,1
1211,Richmond Hill Urology Practice & Prostate Institute,1
1212,Rigshospitalet,1
1213,Riverside University Health System,1
1214,Robert H. Lurie Comprehensive Cancer Center,1
1215,Rocky Vista University,1
1216,Rosalind Franklin University Of Medicine And Science,1
1217,Royal Free Hospital Nhs Foundation Trust,1
1218,Royal Prince Alfred Hospital,1
1219,Russells Hall Hospital,1
1220,Rutgers - New Jersey Medical School,1
1221,Rutgers - Njms,1
1222,Rutgers - Robert Wood Johnson Medical School,1
1223,Pontificia Universidad Javeriana - Hospital Universitario San Ignacio,1
1224,Plastic And Reconstructive Surgery Department,1
1225,Physis Group,1
1226,Physiotherapy Dept. Health Sciences,1
1227,Ochsner Lsu Health Sciences Center,1
1228,Ochsner Lsu Health Shreveport,1
1229,Ohio State University Wexner Medical Center And James Comprehensive Center,1
1230,Ohio University,1
1231,Ohio University Heritage College Of Osteopathic Medicine,1
1232,Ohiohealth/Grant Medical Center,1
1233,Okayama University Graduate School Of Medicine,1
1234,Okinawa Chubu Hospital,1
1235,Oklahoma Children'S Hospital,1
1236,Ontario Telemedicine Network (Otn),1
1237,Oregon Health & Science University,1
1238,Osaka Saiseikai-Noe Hospital,1
1239,Osaka University,1
1240,1Stroger Hospital Of Cook County,1
1241,Pacific Northwest University Of Health Sciences,1
1242,Palmetto General Hospital,1
1243,Palmetto General Hospital- Center For Advanced Surgical Oncology,1
1244,Panzi Hospital,1
1245,Partners In Health Mexico,1
1246,Penn State Children'S Hospital,1
1247,Penn State Health Hershey Medical Center,1
1248,Penn State Health Milton S Hershey Medical Center,1
1249,Penn State Milton S. Hershey Medical Center,1
1250,Pennington Biomedical Research Center,1
1251,Pennstate Health Milton S. Hershey Medical Center,1
1252,Pennsylvania State University College Of Medicine,1
1253,Perelman School Of Medicine At University Of Pennsylvania,1
1254,Phoenix Children'S Hospital,1
1255,Physicians For Peace,1
1256,Rutgers Health New Jersey Medical School,1
1257,Rutgers New Jersey Medical School/ University Hospital,1
1258,Rutgers New Jersey Medical School/University Hospital,1
1259,Simpson Querrey Institute For Bionanotechnology,1
1260,Sky Ridge Medical Center,1
1261,Sociedad Quirrgica S.C. At The American British Cowdray Medical Center,1
1262,Socios En Salud,1
1263,Soroti Regional Referral Hospital,1
1264,South Central Regional Medical Center,1
1265,Southside Hospital / Northwell Health,1
1266,Ssm Cardinal Glennon Children'S Hospital,1
1267,St Agnes Hospital,1
1268,St Jude Childrens Research Hospital,1
1269,St Luke'S University Health Network,1
1270,St. John'S University College Of Pharmacy And Health Sciences,1
1271,St. Joseph Mercy Ann Arbor,1
1272,St. Joseph'S Mercy Hospital,1
1273,St. Joseph'S University Medical Center,1
1274,St. Luke'S Hospital Plaza- Kansas City,1
1275,St. Luke'S Roosevelt Hospital Center,1
1276,St. Luke'S University Hospital,1
1277,Stanford Medicine,1
1278,Stanford School Of Medicine And Palo Alto Va Hcs,1
1279,State University Of Haiti,1
1280,Staten Island University Hospital-Northwell Health,1
1281,Steven And Alexandra Cohen Children'S Medical Center,1
1282,Stony Brook University Hospital,1
1283,Stratus Center For Medical Simulation,1
1284,Sunnybrook Health Sciences Centre,1
1285,Surgical Outcomes And Quality Improvement Center (Soqic),1
1286,Swedish Medical Center,1
1287,Sylvester Cancer Center,1
1288,Taipei Medical University - Shuang Ho Hospital,1
1289,Sinai Hospital,1
1290,Shock Trauma Center At University Of Maryland,1
1291,Rutgers Robert Wood Johnson,1
1292,Shizuoka Children'S Hospital,1
1293,Rutgers Robert Wood Johnson University Hospital,1
1294,Rutgers School Of Biomedical Sciences,1
1295,Rutgers School Of Dental Medicine,1
1296,Rutgers University  Biomedical And Health Sciences,1
1297,Rutgers University - Robert Wood Johnson Medical School,1
1298,Rutgers University-Newark,1
1299,Rutgers-Robert Wood Johnson University Hospital,1
1300,Sacramento Va Medical Center,1
1301,Saint Agnes Healthcare,1
1302,Saint Agnes Hospital Center And Cancer Institute,1
1303,Saint Boniface Hospital,1
1304,Saint Elizabeth Medical Center,1
1305,Saint Mary'S Hospital,1
1306,Samford University,1
1307,Samuel S Stratton Veteran Affairs Medical Center,1
1308,San Antonio Military Medical Center,1
1309,San Francisco General Hospital And The University Of California,1
1310,San Francisco State University,1
1311,San Jose State University,1
1312,Sanford Burnham Prebys Medical Discovery Institute,1
1313,Sapporo Ishiyama Hospital,1
1314,Sapporo Medical University Hospital,1
1315,Saveetha Medical College And Hospital,1
1316,Scripps Mercy Hospital,1
1317,Scripps Mercy Hospital Trauma Service,1
1318,Sefako Makgatho Health Sciences University,1
1319,Semmelweis University,1
1320,Shinshu Medical University,1
1321,Shinshu University Of Medicine,1
1322,Ocala Regional Medical Center,1
1323,Nyu School Of Medicine,1
1324,Johns Hopkins,1
1325,Marquette University,1
1326,Legacy Good Samaritan Medical Center,1
1327,Leiden University Medical Center,1
1328,Lincoln Medical Center,1
1329,Liver And Pancreas Transplant Center,1
1330,Louisiana State University,1
1331,Louisiana State University Health - Shreveport,1
1332,Louisiana State University Health Sciences Center- Shreveport,1
1333,Lousiana State University In Shreveport,1
1334,Loyola University Chicago,1
1335,Loyola Universtiy Medical Center,1
1336,Magee-Womens Research Institute,1
1337,Makerere University School Of Medicine,1
1338,Marin General Hospital,1
1339,Marin Health Medical Center,1
1340,Marshall Institute For Interdisciplinary Research,1
1341,Nyu Langone Hospital-Brooklyn,1
1342,Marshall University Joan C. Edwards School Of Medicine,1
1343,Marshall University School Of Medcine,1
1344,Marshfield Clinic Health Center,1
1345,Marshfield Clinic Health System,1
1346,Marshfield Medical Center,1
1347,Mary Bridge Children'S Health Center,1
1348,Massachusetts General Hospital & Harvard Medical School,1
1349,Mater Adult Brisbane Hospital,1
1350,Matola Hospital,1
1351,Matsushima Hospital,1
1352,Mayo Clinic - Rochester,1
1353,Mayo Clinic Rochester,1
1354,Mbarara University Of Science And Technology,1
1355,Mcgill University Health Centre,1
1356,Lankenau Medical Center,1
1357,Lahore General Hospital,1
1358,Lahey Hospital Medical Center,1
1359,Lahey Hospital And Medical Center,1
1360,Johns Hopkins Bayview Medical Centre,1
1361,Johns Hopkins Bloomberg School Of Public Health,1
1362,Johns Hopkins Medicine International,1
1363,Johns Hopkins School Of Medicine,1
1364,Johns Hopkins Surgery Center For Outcomes Research,1
1365,Johns Hopkins University Bloomberg School Of Public Health,1
1366,Kagoshima University,1
1367,Kampala International University Western Campus,1
1368,Kamuzu Central Hospital,1
1369,Karmanos Cancer Institute,1
1370,Kashiwa Kosei General Hospital,1
1371,Keck School Of Medicine,1
1372,Keck School Of Medicine Of The University Of Southern California,1
1373,Keio Universiry,1
1374,Kibungo Referral Hospital,1
1375,Kinan Hospita,1
1376,King Abdulaziz Medical City,1
1377,King Edward Medical University,1
1378,King Faisal Specialist Hospital And Research Center (Kfsh),1
1379,King George'S Medical University,1
1380,King University,1
1381,King'S College London School Of Medicine,1
1382,King'S Mill Hospital,1
1383,Kobe University,1
1384,Komaki Municipal Hospital,1
1385,Kravis Children'S Hospital At Mount Sinai,1
1386,Kyushu University Beppu Hospital,1
1387,Laboratory For Regenerative Tissue Repair,1
1388,Lagos University Teaching Hospital,1
1389,Mcgovern Medical School At Uthealth And Children'S Memorial Hermann,1
1390,Md Anderson Cancer Center,1
1391,Medical Center,1
1392,Nemours/Alfred I Dupont Hospital For Children,1
1393,New York Hospital Queens,1
1394,New York Institute Of Technology,1
1395,New York Presbyterian Hospital - Weill Cornell Medical College,1
1396,New York Presbyterian Hospital-Columbia,1
1397,New York Presbyterian Hospital/Weill Cornell Medicine,1
1398,New York Presbyterian/Columbia University Medical Center,1
1399,New York University Langone Health,1
1400,New York University Langone Hospital - Long Island,1
1401,New York-Presbyterian-Cornell,1
1402,Newyork-Presbyterian Hospital/Weill Cornell Medical Center,1
1403,Newyork-Presbyterian Queens,1
1404,Newyork-Presbyterian/Queens,1
1405,Niigata University,1
1406,Nkafu Policy Institute,1
1407,North Shore University Hospital,1
1408,North Shore University Hospital And Long Island Jewish Medical Center,1
1409,Northern Ontario School Of Medicine(Nosm) University,1
1410,Northwell - Staten Island University Hospital,1
1411,Northwell Health Cancer Institute At Northwell Center For Advanced Medicine,1
1412,Northwell Health North Shore/Long Island Jewish Hospital,1
1413,Northwell Health System - Long Island Jewish Medical Center,1
1414,Northwell Northshore/Long Island Jewish,1
1415,Northwestern Memorial Hospital,1
1416,Northwestern University Feinberg School Of Medicine And Ann & Robert H. Lurie Childrens Hospital Of Chicago,1
1417,Northwestern University- Feinberg School Of Medicine,1
1418,Nyc Health +Hospitals/ Elmhurst,1
1419,Nyu Langone Health,1
1420,Nyu Langone Hospital,1
1421,Nyu Langone Hospital - Long Island,1
1422,Nepal Medical College And Teaching Hospital,1
1423,Nemours Children'S Health System,1
1424,Medical College Of Georgia At Augusta University,1
1425,Nemours Children'S Health,1
1426,Medical College Of Wisconsin & Froedert Hospital,1
1427,Medical College Of Wisconsin Affiliated Hospitals,1
1428,Medstar Georgetown University Hospital/Washington Hospital Center,1
1429,Medstar-Georgetown University Medical Center,1
1430,Memorial University Medical Center,1
1431,Memorial University Medical Center-Mercer University School Of Medicine,1
1432,Mercy Medical Center,1
1433,Mercyone Des Moines,1
1434,Mgh Institute Of Health Professions,1
1435,Mgh Institute Of Technological Assessment,1
1436,Miami Valley Hospital,1
1437,Michael E Debakey Va Medical Center,1
1438,Michigan Medicine University Of Michigan,1
1439,Milton S. Hershey Medical Center,1
1440,Mission Hospitals,1
1441,Moi Teaching And Referral Hospital,1
1442,Monash University Endocrine Surgery Unit,1
1443,Monmouth Medical Center,1
1444,Monroe Carell,1
1445,Montefiore Medical Center/Albert Einstien College Of Medicine,1
1446,Moores Cancer Center,1
1447,Morsani College Of Medicine,1
1448,Musc,1
1449,National Clinician Scholars Program,1
1450,Nationwide Childrens Hospital,1
1451,Naval Medical Center,1
1452,Nebraska Medical Center,1
1453,Nemour'S Children'S Hospital; University Of Central Florida,1
1454,Nemours Alfred I Dupot Hospital For Children,1
1455,Zucker School Of Medicine At Hofstra,1
